Name, Count
Broadway_Polk,5
Broadway_Powell,2
Broadway_Sansome,2
Broadway_Stockton,2
Broadway_Van Ness,6
Broderick_Bush,3
Broderick_California,3
Broderick_Fell,7
Broderick_Fulton,3
Broderick_Haight,1
Broderick_Lombard_Richardson,6
Broderick_McAllister,4
Broderick_Oak,3
Broderick_Pine,3
Broderick_Turk,3
Brookdale_Geneva,3
Brotherhood_Chumasero_Thomas More,2
Brotherhood_Church Access (999),2
Brotherhood_Church Parking Lot (655),3
Brotherhood_Lake Merced,2
Brotherhood_Saint Charles,2
Brotherhood_Summit,2
Bryant_Cesar Chavez,4
Bryant_Main,3
Bryant_Sterling,1
Bryant_The Embarcadero_Pier 30,3
Buchanan_Bush,3
Buchanan_California,4
Buchanan_Duboce_Market,3
Buchanan_Fell,5
Buchanan_Fulton,2
Buchanan_Geary,2
Buchanan_Golden Gate,2
Buchanan_Haight,3
Buchanan_Lombard,4
Buchanan_McAllister,1
Buchanan_Oak,4
Buchanan_Pine,3
Buchanan_Post,3
Buchanan_Sutter,3
Buchanan_Turk,2
Burnett_Clipper_Portola,3
Burrows_San Bruno,2
Bush_Divisadero,3
Bush_Euclid_Presidio,2
Bush_Fillmore,2
Bush_Franklin,3
Bush_Gough,2
Bush_Grant,2
Bush_Hyde,2
Bush_Jones,2
Bush_Kearny,2
Bush_Laguna,2
Bush_Larkin,2
Bush_Leavenworth,2
Bush_Lyon,2
Bush_Mason,2
Bush_Montgomery,2
Bush_Octavia,2
Bush_Pierce,2
Bush_Polk,2
Bush_Powell,3
Bush_Sansome,3
Bush_Scott,2
Bush_Steiner,2
Bush_Stockton,2
Bush_Taylor,2
Bush_Van Ness,4
Bush_Webster,3
Cabrillo_Park Presidio,5
California_Cherry_Jordan,3
California_Commonwealth,1
California_Davis,2
California_Divisadero,2
California_Drumm,4
California_Fillmore,2
California_Franklin,3
California_Front,2
California_Gough,2
California_Grant,3
California_Hyde,6
California_Jones,3
California_Kearny,3
California_Laguna,4
California_Larkin,3
California_Laurel,3
California_Leavenworth,5
California_Locust,3
California_Lyon,3
California_Maple_Parker,3
California_Mason,3
California_Montgomery,3
California_Octavia,3
California_Park Presidio,4
California_Pierce,2
California_Polk,2
California_Powell,1
California_Presidio,6
